Stock_ID,Symbol,Company_Name,Sector,Industry,Exchange,ISIN,MarketCap,Face_Value,Dividend_Yield
275,A2ZINFRA,A2Z Infra Engineering Limited,Auto,Healthcare,BSE,INE9810842942,98219,2,0.73
276,AAKASH,Aakash Exploration Services Limited,Auto,Manufacturing,BSE,INE9734292637,294222,1,4.43
277,ACC,ACC Limited,FMCG,Finance,NSE,INE3672987323,981421,1,1.4
278,AARTIIND,Aarti Industries Limited,IT,Manufacturing,NSE,INE4249353625,928945,2,4.25
279,POWERINDIA,ABB Power Products and Systems India Limited,Energy,Finance,NSE,INE0521960224,40518,1,0.55
280,AARVEEDEN,Aarvee Denims & Exports Limited,Energy,Finance,BSE,INE9260033666,251707,2,2.14
281,ACCURACY,Accuracy Shipping Limited,Energy,Finance,NSE,INE2373020175,939057,2,1.8
282,ACCORD,Accord Synergy Limited,Banking,Manufacturing,BSE,INE0114567026,795823,1,2.24
283,ABNINT,A B N Intercorp Limited,Pharma,Finance,BSE,INE0862644764,990792,2,3.95
284,AAVAS,Aavas Financiers Limited,Pharma,Oil & Gas,NSE,INE4007724476,184485,2,2.51
285,ACCURACY,Accuracy Shipping Limited,Banking,Software,BSE,INE2354247032,468390,1,1.9
286,ABNINT,A B N Intercorp Limited,Pharma,Oil & Gas,BSE,INE7317246213,716613,1,0.43
287,ACCURACY,Accuracy Shipping Limited,Auto,Finance,NSE,INE6382662316,580766,2,0.01
288,AAVAS,Aavas Financiers Limited,Auto,Finance,NSE,INE6677640833,700873,1,2.2
289,ACCELYA,Accelya Solutions India Limited,Pharma,Software,NSE,INE0752999192,193861,10,0.19
290,POWERINDIA,ABB Power Products and Systems India Limited,Auto,Healthcare,NSE,INE8067755741,846706,10,3.55
291,ABNINT,A B N Intercorp Limited,Auto,Finance,NSE,INE2963781543,225673,5,1.9
292,ACCELYA,Accelya Solutions India Limited,Banking,Manufacturing,NSE,INE6331029868,812929,5,2.67
293,ABINFRA,A B Infrabuild Limited,Auto,Software,NSE,INE5716290749,194166,10,3.28
294,AAKASH,Aakash Exploration Services Limited,IT,Oil & Gas,BSE,INE7590072321,92733,5,4.82
295,ABB,ABB India Limited,Energy,Finance,BSE,INE3957923582,209403,5,1.6
296,AARVEEDEN,Aarvee Denims & Exports Limited,FMCG,Healthcare,NSE,INE5453648182,463252,10,3.79
297,AARVEEDEN,Aarvee Denims & Exports Limited,Pharma,Healthcare,BSE,INE3620252221,627055,1,0.99
298,ABMINTLTD,ABM International Limited,Energy,Oil & Gas,NSE,INE6860269404,452974,1,0.28
299,AARTIDRUGS,Aarti Drugs Limited,Auto,Finance,NSE,INE0368786409,192783,10,2.0
300,ABINFRA,A B Infrabuild Limited,Energy,Software,BSE,INE9692679558,921709,10,4.75
